STATION,NAME,DATE,PRCP,TMAX,TMIN
USW00053152,"SANTA BARBARA 11 W, CA US",8/14/08,0,,
USW00053152,"SANTA BARBARA 11 W, CA US",8/15/08,0,73,62
USW00053152,"SANTA BARBARA 11 W, CA US",8/16/08,0,71,61
USW00053152,"SANTA BARBARA 11 W, CA US",8/17/08,0,71,60
USW00053152,"SANTA BARBARA 11 W, CA US",8/18/08,0,71,59
USW00053152,"SANTA BARBARA 11 W, CA US",8/19/08,0,72,56
USW00053152,"SANTA BARBARA 11 W, CA US",8/20/08,0,73,58
USW00053152,"SANTA BARBARA 11 W, CA US",8/21/08,0,74,59
USW00053152,"SANTA BARBARA 11 W, CA US",8/22/08,0,71,60
USW00053152,"SANTA BARBARA 11 W, CA US",8/23/08,0,69,62
USW00053152,"SANTA BARBARA 11 W, CA US",8/24/08,0,71,58
USW00053152,"SANTA BARBARA 11 W, CA US",8/25/08,0,71,61
USW00053152,"SANTA BARBARA 11 W, CA US",8/26/08,0,73,59
USW00053152,"SANTA BARBARA 11 W, CA US",8/27/08,0,69,60
USW00053152,"SANTA BARBARA 11 W, CA US",8/28/08,0,67,60
USW00053152,"SANTA BARBARA 11 W, CA US",8/29/08,0,72,62
USW00053152,"SANTA BARBARA 11 W, CA US",8/30/08,0,72,62
USW00053152,"SANTA BARBARA 11 W, CA US",8/31/08,0,73,61
USW00053152,"SANTA BARBARA 11 W, CA US",9/1/08,0,74,61
USW00053152,"SANTA BARBARA 11 W, CA US",9/2/08,0,,59
USW00053152,"SANTA BARBARA 11 W, CA US",9/3/08,0,71,62
USW00053152,"SANTA BARBARA 11 W, CA US",9/4/08,0,70,61
USW00053152,"SANTA BARBARA 11 W, CA US",9/5/08,0,71,60
USW00053152,"SANTA BARBARA 11 W, CA US",9/6/08,0,68,60
USW00053152,"SANTA BARBARA 11 W, CA US",9/7/08,0,68,62
USW00053152,"SANTA BARBARA 11 W, CA US",9/8/08,0,69,61
USW00053152,"SANTA BARBARA 11 W, CA US",9/9/08,0,69,57
